Year,4R,4S,4T,3Pn Jan - May,4Vn Jan - May,Total
1953,5981,48,2337,0,0,8366
1954,12867,3048,16853,0,0,32768
1955,38520,8739,2598,0,0,49857
1956,25675,17900,3259,0,0,46834
1957,17977,13365,2989,0,0,34331
1958,9716,11076,1778,0,0,22570
1959,9744,5620,1614,0,135,17113
1960,5512,4678,2028,0,612,12830
1961,3927,4482,1982,2,669,11062
1962,1609,3444,1532,5,561,7151
1963,6908,9674,3212,443,580,20817
1964,9967,16843,2890,243,581,30524
1965,20115,23517,5195,3232,770,52829
1966,33057,24133,8025,1881,866,67962
1967,30855,30713,8468,995,874,71905
1968,43643,40228,7092,668,3633,95264
1969,36683,41352,10840,1912,1533,92320
1970,37419,40917,9252,1521,1394,90503
1971,27954,43540,7912,593,2190,82189
1972,26084,46788,7457,128,2135,82592
1973,68074,47594,14496,1521,4416,136101
1974,30896,25684,6909,1505,2087,67081
1975,30838,28499,6064,3378,1273,70052
1976,19963,16394,1626,4523,1872,44378
1977,5620,7906,2314,772,460,17072
1978,3084,6352,4155,1067,276,14934
1979,3763,7629,3642,1185,206,16425
1980,4809,8125,1898,527,180,15539
1981,7685,10173,2691,973,523,22045
1982,9410,13824,3222,63,212,26731
1983,10463,11495,2547,322,147,24974
1984,12123,12700,9988,936,80,35827
1985,11479,13029,3559,201,65,28333
1986,11151,18479,3963,2540,281,36414
1987,11547,16772,5992,3234,5901,43446
1988,15518,14480,8828,6917,6149,51892
1989,17805,15419,9755,5440,4063,52482
1990,26985,17740,5397,5671,6141,61934
1991,40661,3984,6494,10349,6039,67527
1992,30000,11385,8151,14111,14106,77753
1993,16475,4769,4132,17387,8392,51156
1994,2745,2378,5166,5085,4211,19586
1995,27,8,13,0,2,50
1996,28,3,41,1,0,74
1997,6,10,20,0,1,38
1998,118,86,190,0,5,399
1999,589,63,456,0,2,1110
2000,794,53,258,11,1,1117
2001,711,6,370,84,3,1173
2002,689,50,466,13,6,1224
2003,484,65,288,0,1,838
2004,486,34,413,0,9,941
2005,562,87,325,0,2,975
2006,126,52,512,NA,4,694
2007,5,22,78,0,0,106
2008,62,9,348,0,1,420
2009,95,15,525,0,0,635
2010,164,53,330,0,2,549
2011,113,42,475,0,1,630
2012,148,172,378,0,1,699
2013,65,121,280,0,0,466
2014,37,34,287,0,9,366
2015,4,55,120,0,0,179
