"","YearC","Decade","FlagName","FleetCode","GearGrp","SchoolType","Trimester","QuadID","Lat5","Lon5","yLat5ctoid","xLon5ctoid","Catch"
"1",1996,1990,"Barbados","BRB","LL","None",1,4,5,15,7.5,-17.5,0.18806
"2",1996,1990,"Barbados","BRB","LL","None",1,4,5,20,7.5,-22.5,0.39612
"3",1996,1990,"Barbados","BRB","LL","None",1,4,5,25,7.5,-27.5,2.88073
"4",1996,1990,"Barbados","BRB","LL","None",1,4,5,30,7.5,-32.5,3.23566
"5",1996,1990,"Barbados","BRB","LL","None",1,4,5,35,7.5,-37.5,0.36086
"6",1996,1990,"Barbados","BRB","LL","None",1,4,5,40,7.5,-42.5,0.30579
"7",1996,1990,"Barbados","BRB","LL","None",1,4,10,20,12.5,-22.5,0.03175
"8",1996,1990,"Barbados","BRB","LL","None",1,4,10,25,12.5,-27.5,0.40426
"9",1996,1990,"Barbados","BRB","LL","None",1,4,10,30,12.5,-32.5,0.31652
"10",1996,1990,"Barbados","BRB","LL","None",1,4,10,35,12.5,-37.5,0.06914
"11",1996,1990,"Barbados","BRB","LL","None",1,4,10,60,12.5,-62.5,0.20204
"12",1996,1990,"Barbados","BRB","LL","None",1,4,15,25,17.5,-27.5,0.01
"13",1996,1990,"Barbados","BRB","LL","None",2,4,5,10,7.5,-12.5,0.10245
"14",1996,1990,"Barbados","BRB","LL","None",2,4,5,15,7.5,-17.5,0.12189
"15",1996,1990,"Barbados","BRB","LL","None",2,4,5,20,7.5,-22.5,0.13661
"16",1996,1990,"Barbados","BRB","LL","None",2,4,5,25,7.5,-27.5,0.8858
"17",1996,1990,"Barbados","BRB","LL","None",2,4,5,30,7.5,-32.5,0.29663
"18",1996,1990,"Barbados","BRB","LL","None",2,4,5,35,7.5,-37.5,0.1826
"19",1996,1990,"Barbados","BRB","LL","None",2,4,5,40,7.5,-42.5,0.02184
"20",1996,1990,"Barbados","BRB","LL","None",2,4,10,20,12.5,-22.5,0.04045
"21",1996,1990,"Barbados","BRB","LL","None",2,4,10,25,12.5,-27.5,0.02203
"22",1996,1990,"Barbados","BRB","LL","None",2,4,10,30,12.5,-32.5,0.08876
"23",1996,1990,"Barbados","BRB","LL","None",2,4,10,35,12.5,-37.5,0.02628
"24",1996,1990,"Barbados","BRB","LL","None",2,4,10,40,12.5,-42.5,0.00185
"25",1996,1990,"Barbados","BRB","LL","None",2,4,10,60,12.5,-62.5,0.12291
"26",1996,1990,"Barbados","BRB","LL","None",2,4,15,30,17.5,-32.5,0.29894
